Fecha,Demanda
2021-01-04,0.0
2021-01-11,342.0
2021-01-18,876.0
2021-01-25,54.0
2021-02-01,0.0
2021-02-08,252.0
2021-02-15,150.0
2021-02-22,408.0
2021-03-01,0.0
2021-03-08,211.0
2021-03-15,6.0
2021-03-22,64.0
2021-03-29,174.0
2021-04-05,94.0
2021-04-12,6.0
2021-04-19,212.0
2021-04-26,153.0
2021-05-03,1.0
2021-05-10,117.0
2021-05-17,210.0
2021-05-24,52.0
2021-05-31,48.0
2021-06-07,164.0
2021-06-14,6.0
2021-06-21,75.0
2021-06-28,0.0
2021-07-05,114.0
2021-07-12,6.0
2021-07-19,216.0
2021-07-26,6.0
2021-08-02,0.0
2021-08-09,90.0
2021-08-16,180.0
2021-08-23,366.0
2021-08-30,6.0
2021-09-06,0.0
2021-09-13,234.0
2021-09-20,156.0
2021-09-27,306.0
2021-10-04,192.0
2021-10-11,336.0
2021-10-18,120.0
2021-10-25,528.0
2021-11-01,2730.0
2021-11-08,25206.0
2021-11-15,18.0
2021-11-22,330.0
2021-11-29,24.0
2021-12-06,0.0
2021-12-13,1734.0
2021-12-20,120.0
2021-12-27,70.0
2022-01-03,0.0
2022-01-10,312.0
2022-01-17,306.0
2022-01-24,414.0
2022-01-31,174.0
2022-02-07,324.0
2022-02-14,216.0
2022-02-21,240.0
2022-02-28,294.0
2022-03-07,210.0
2022-03-14,216.0
2022-03-21,144.0
2022-03-28,240.0
2022-04-04,132.0
2022-04-11,0.0
2022-04-18,138.0
2022-04-25,66.0
2022-05-02,228.0
2022-05-09,162.0
2022-05-16,6.0
2022-05-23,102.0
2022-05-30,96.0
2022-06-06,66.0
2022-06-13,114.0
2022-06-20,138.0
2022-06-27,12.0
2022-07-04,30.0
2022-07-11,0.0
2022-07-18,0.0
2022-07-25,0.0
2022-08-01,0.0
2022-08-08,0.0
2022-08-15,0.0
2022-08-22,0.0
2022-08-29,0.0
2022-09-05,0.0
2022-09-12,0.0
2022-09-19,0.0
2022-09-26,0.0
2022-10-03,0.0
