Fecha,Demanda
2021-01-04,1.0
2021-01-11,198.0
2021-01-18,372.0
2021-01-25,30.0
2021-02-01,0.0
2021-02-08,198.0
2021-02-15,240.0
2021-02-22,669.0
2021-03-01,0.0
2021-03-08,713.0
2021-03-15,24.0
2021-03-22,317.0
2021-03-29,802.0
2021-04-05,325.0
2021-04-12,24.0
2021-04-19,531.0
2021-04-26,480.0
2021-05-03,3.0
2021-05-10,439.0
2021-05-17,560.0
2021-05-24,276.0
2021-05-31,420.0
2021-06-07,937.0
2021-06-14,54.0
2021-06-21,1324.0
2021-06-28,0.0
2021-07-05,618.0
2021-07-12,24.0
2021-07-19,8064.0
2021-07-26,0.0
2021-08-02,0.0
2021-08-09,3744.0
2021-08-16,8064.0
2021-08-23,576.0
2021-08-30,0.0
2021-09-06,0.0
2021-09-13,0.0
2021-09-20,0.0
2021-09-27,1440.0
2021-10-04,0.0
2021-10-11,0.0
2021-10-18,288.0
2021-10-25,288.0
2021-11-01,288.0
2021-11-08,576.0
2021-11-15,0.0
2021-11-22,0.0
2021-11-29,0.0
2021-12-06,0.0
2021-12-13,0.0
2021-12-20,0.0
2021-12-27,0.0
2022-01-03,0.0
2022-01-10,0.0
2022-01-17,288.0
2022-01-24,0.0
2022-01-31,0.0
2022-02-07,0.0
2022-02-14,0.0
2022-02-21,0.0
2022-02-28,0.0
2022-03-07,0.0
2022-03-14,0.0
2022-03-21,0.0
2022-03-28,576.0
2022-04-04,0.0
2022-04-11,0.0
2022-04-18,864.0
2022-04-25,288.0
2022-05-02,0.0
2022-05-09,288.0
2022-05-16,0.0
2022-05-23,3004.0
2022-05-30,2112.0
2022-06-06,320.0
2022-06-13,2272.0
2022-06-20,2096.0
2022-06-27,384.0
2022-07-04,64.0
2022-07-11,280.0
2022-07-18,944.0
2022-07-25,2272.0
2022-08-01,1472.0
2022-08-08,1140.0
2022-08-15,1648.0
2022-08-22,1464.0
2022-08-29,1536.0
2022-09-05,0.0
