fecha,demanda
2021-01-01,1272.0
2021-02-01,780.0
2021-03-01,451.0
2021-04-01,465.0
2021-05-01,421.0
2021-06-01,245.0
2021-07-01,342.0
2021-08-01,642.0
2021-09-01,708.0
2021-10-01,1170.0
2021-11-01,28308.0
2021-12-01,1894.0
2022-01-01,1049.0
2022-02-01,930.0
2022-03-01,1097.0
2022-04-01,336.0
2022-05-01,498.0
2022-06-01,426.0
2022-07-01,30.0
2022-10-01,3000.0
2022-11-01,25212.0
2022-12-01,3031.0
2023-01-01,1462.0
2023-02-01,570.0
2023-03-01,594.0
2023-04-01,491.0
2023-05-01,606.0
2023-06-01,450.0
2023-07-01,456.0
2023-08-01,534.0
2023-09-01,498.0
2023-10-01,1272.0
2023-11-01,30492.0
2023-12-01,6294.0
2024-01-01,780.0
2024-02-01,572.0
2024-03-01,714.0
2024-04-01,468.0
2024-05-01,162.0
2024-06-01,204.0
2024-07-01,120.0
2024-08-01,444.0
2024-09-01,306.0
2024-10-01,4908.0
2024-11-01,27539.0
2024-12-01,5646.0
2025-01-01,1764.0
2025-02-01,1140.0
2025-03-01,1139.0
2025-04-01,663.0
2025-05-01,630.0
2025-06-01,564.0
2025-07-01,318.0
2025-08-01,593.0
2025-09-01,504.0
2025-10-01,6766.0
2025-11-01,30240.0
2025-12-01,6774.0
2026-01-01,1373.0
2026-02-01,1404.0
