fecha,demanda
2021-01-01,601.0
2021-02-01,1107.0
2021-03-01,1844.0
2021-04-01,1359.0
2021-05-01,1710.0
2021-06-01,2284.0
2021-07-01,8693.0
2021-08-01,12383.0
2021-09-01,1440.0
2021-10-01,576.0
2021-11-01,288.0
2022-01-01,288.0
2022-03-01,576.0
2022-04-01,1152.0
2022-05-01,3356.0
2022-06-01,7120.0
2022-07-01,3560.0
2022-08-01,5723.0
2022-09-01,8350.0
2022-10-01,6990.0
2022-11-01,4711.0
2022-12-01,13124.0
2023-01-01,5248.0
2023-02-01,1804.0
2023-03-01,3131.0
2023-04-01,1792.0
2023-05-01,896.0
2023-06-01,3355.0
2023-07-01,4330.0
2023-08-01,2464.0
2023-09-01,6298.0
2023-10-01,4320.0
2023-11-01,3712.0
2023-12-01,8608.0
2024-01-01,1920.0
2024-02-01,972.0
2024-03-01,1764.0
2024-04-01,2433.0
2024-05-01,3449.0
2024-06-01,3673.0
2024-07-01,3594.0
2024-08-01,5173.0
2024-09-01,2091.0
2024-10-01,3528.0
2024-11-01,3326.0
2024-12-01,5456.0
2025-01-01,3158.0
2025-02-01,3526.0
2025-03-01,5110.0
2025-04-01,8199.0
2025-05-01,3538.0
2025-06-01,7178.0
2025-07-01,4618.0
2025-08-01,6317.0
2025-09-01,7009.0
2025-10-01,7912.0
2025-11-01,5103.0
2025-12-01,4289.0
2026-01-01,6012.0
2026-02-01,5661.0
