fecha,demanda_predicha,limite_inferior,limite_superior
2026-03-01,4735.0,2086.0,10742.0
2026-04-01,4097.0,1765.0,9506.0
2026-05-01,5946.0,2507.0,14098.0
2026-06-01,4432.0,1829.0,10736.0
2026-07-01,4818.0,1948.0,11914.0
2026-08-01,4288.0,1699.0,10821.0
