fecha,demanda_predicha,limite_inferior,limite_superior
2026-03-01,1165.0,498.0,2724.0
2026-04-01,708.0,280.0,1788.0
2026-05-01,482.0,179.0,1295.0
2026-06-01,458.0,165.0,1264.0
2026-07-01,264.0,94.0,742.0
2026-08-01,569.0,201.0,1607.0
