Mes,Demanda,Prediccion_XGBoost
2025-05-01,3538.0,4522.6475
2025-06-01,7178.0,4344.942
2025-07-01,4618.0,5787.2725
2025-08-01,6317.0,4688.4453
2025-09-01,7009.0,5600.3403
2025-10-01,7912.0,4034.0205
2025-11-01,5103.0,6069.8965
2025-12-01,4289.0,6746.2993
2026-01-01,6012.0,4116.101
2026-02-01,5661.0,2616.8765
